                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8031,                0.83791,                  1.127,                0.73565,                 0.7705,                0.80877,                0.47781,                 1.4082,                 1.0405,                 1.0157,               0.066795,             3.3238e-05,             3.3238e-05
                      1,                 0.7172,                0.59605,                 1.0605,                0.70158,                0.71962,                0.74124,                0.51948,                 1.1869,                0.85171,                0.90978,               0.033495,             6.5912e-05,             6.5912e-05
                      2,                0.67806,                0.52455,                 1.0342,                0.82072,                0.82949,                0.85865,                0.55778,                 1.2394,                0.75174,                0.93392,             0.00019344,             9.7926e-05,             9.7926e-05
                      3,                0.67183,                0.51566,                 1.0237,                0.88288,                0.85943,                0.89482,                0.59938,                 1.1368,                0.64104,                 0.8714,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                0.66105,                0.48408,                 1.0175,                0.86343,                0.85657,                0.88507,                0.60606,                 1.1075,                0.66137,                0.85324,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.64734,                0.46695,                 1.0126,                0.87394,                0.84037,                0.88644,                0.58487,                 1.1776,                0.70977,                0.87596,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                0.62865,                0.45167,                 1.0036,                 0.9101,                0.86256,                 0.9092,                0.61696,                 1.1218,                0.64025,                0.85661,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 0.6291,                0.44967,                 1.0016,                 0.9065,                0.85972,                 0.9049,                0.61684,                  1.121,                0.64769,                 0.8744,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 0.6211,                0.42995,                0.99731,                0.83649,                0.82542,                 0.8544,                0.59774,                 1.1266,                0.64784,                0.85392,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                0.61754,                0.43457,                0.99674,                0.84507,                0.84177,                0.89334,                0.61779,                 1.1099,                0.70537,                0.86172,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                0.61118,                0.42593,                0.99261,                0.88985,                0.86159,                0.88902,                0.62339,                 1.0549,                0.59843,                0.82917,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                0.60882,                0.41481,                0.99167,                0.89171,                0.84912,                0.90045,                0.62733,                 1.1203,                0.64869,                0.85157,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                0.59877,                0.40979,                0.98892,                0.91708,                0.87331,                0.91592,                0.63099,                 1.0859,                0.59517,                0.83991,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                0.59728,                0.40494,                0.98428,                0.89216,                0.86781,                 0.9112,                0.64337,                 1.0433,                0.60217,                0.83713,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                0.59929,                0.39986,                0.98175,                0.90845,                0.85153,                0.90006,                0.60513,                 1.1383,                0.62312,                0.86799,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                0.58172,                0.38867,                0.97714,                0.89965,                0.86112,                0.90815,                0.63026,                 1.0846,                 0.5978,                0.84974,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                0.59251,                 0.3939,                0.97872,                0.90428,                0.88408,                0.91487,                0.63668,                 1.1104,                0.61625,                0.87154,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                0.59427,                0.39632,                0.98002,                0.89643,                   0.87,                0.90006,                0.63876,                 1.0975,                0.58888,                0.85123,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                0.57542,                0.37837,                0.97513,                0.90027,                0.86138,                0.89374,                0.62108,                 1.1458,                0.60773,                0.87085,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                 0.5728,                0.38164,                0.97815,                0.89511,                0.88734,                0.91421,                0.65215,                 1.0716,                 0.6134,                 0.8541,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                0.58481,                0.38488,                0.97422,                0.92811,                0.88195,                0.92064,                0.66074,                 1.0801,                0.59409,                0.87619,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                0.57507,                0.37185,                0.97026,                0.91749,                0.88069,                0.91521,                0.65793,                 1.0466,                0.57053,                 0.8467,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                0.57862,                0.37745,                0.97469,                 0.8919,                0.86044,                0.90162,                 0.6419,                 1.1011,                0.62187,                0.86985,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                0.58357,                0.37077,                0.97013,                0.90978,                0.88057,                0.91475,                0.64568,                 1.0865,                0.58775,                0.86522,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                 0.5744,                 0.3724,                0.97035,                0.89752,                 0.8902,                0.91915,                0.65044,                 1.0894,                0.57912,                0.86514,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                0.55535,                0.36394,                0.96701,                0.90331,                0.88642,                0.91843,                0.65223,                 1.0739,                0.60299,                0.83691,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                0.56701,                0.37455,                0.96855,                0.91341,                0.89905,                0.92524,                0.65296,                 1.0882,                0.59331,                0.84719,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                0.56091,                0.35793,                0.96867,                0.92082,                0.89149,                0.92975,                0.65797,                    1.1,                0.57232,                0.86262,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                0.56636,                0.35894,                0.96494,                0.92556,                0.87324,                0.91764,                0.64799,                 1.1271,                 0.5918,                0.87169,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                0.57126,                 0.3659,                0.96762,                0.92898,                0.88084,                0.92611,                0.65818,                 1.0818,                0.61511,                  0.852,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                 0.5559,                0.35322,                0.96349,                0.92601,                0.88609,                0.93127,                0.64498,                 1.1304,                0.62719,                0.87185,              7.129e-05,              7.129e-05,              7.129e-05
                     31,                0.55332,                0.35223,                  0.961,                0.92049,                0.89156,                0.92457,                0.65655,                 1.0679,                0.60434,                0.85122,               7.03e-05,               7.03e-05,               7.03e-05
                     32,                0.54674,                0.34894,                0.96144,                0.92929,                0.89354,                0.93151,                0.66219,                  1.072,                0.57539,                0.86329,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                0.55018,                0.35007,                 0.9599,                0.92745,                0.88529,                0.93311,                0.66556,                 1.0667,                0.58211,                0.84911,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                0.54984,                0.34485,                0.95736,                0.92628,                0.87354,                 0.9256,                0.65488,                 1.0661,                0.60842,                 0.8533,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                0.54459,                0.34324,                0.95835,                  0.916,                0.88326,                0.92454,                0.65379,                 1.0814,                0.62478,                0.85218,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                0.54312,                0.34515,                0.95743,                0.91654,                0.88122,                0.92032,                0.64897,                 1.0885,                0.60562,                0.85661,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                0.53481,                 0.3358,                0.95637,                0.92083,                0.89622,                0.92787,                0.65888,                 1.0953,                0.56954,                 0.8803,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                 0.5353,                0.33818,                0.95391,                0.92771,                  0.901,                0.93213,                0.66273,                 1.0655,                0.61213,                0.86118,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                0.54073,                0.33688,                0.95385,                0.92783,                0.88329,                0.92154,                 0.6577,                 1.0401,                0.56201,                0.83764,              6.238e-05,              6.238e-05,              6.238e-05
                     40,                0.53635,                 0.3355,                0.95388,                0.92094,                 0.9047,                0.92888,                0.66113,                 1.0662,                0.55959,                0.85739,              6.139e-05,              6.139e-05,              6.139e-05
                     41,                0.53909,                0.35455,                0.95297,                0.92199,                0.89171,                0.92255,                0.66293,                 1.0548,                0.53953,                0.84918,               6.04e-05,               6.04e-05,               6.04e-05
                     42,                0.52869,                0.32666,                0.95048,                0.93033,                0.89882,                 0.9285,                0.66604,                 1.0459,                0.56191,                0.85101,              5.941e-05,              5.941e-05,              5.941e-05
                     43,                0.52424,                0.32914,                0.94875,                0.93178,                0.89958,                0.92974,                0.66892,                 1.0511,                0.54902,                0.85796,              5.842e-05,              5.842e-05,              5.842e-05
                     44,                0.53065,                0.33179,                0.95146,                0.92882,                0.89417,                0.93325,                 0.6656,                 1.0389,                0.53902,                0.85109,              5.743e-05,              5.743e-05,              5.743e-05
                     45,                0.52855,                0.32504,                0.94927,                0.92388,                  0.883,                0.92695,                0.65791,                 1.0699,                0.57638,                0.86965,              5.644e-05,              5.644e-05,              5.644e-05
                     46,                  0.525,                 0.3223,                0.94978,                0.93981,                0.90754,                0.93775,                0.67267,                 1.0584,                0.52877,                0.86278,              5.545e-05,              5.545e-05,              5.545e-05
                     47,                0.52824,                 0.3284,                0.94849,                0.92771,                0.90616,                0.93471,                 0.6707,                 1.0296,                0.50497,                0.84579,              5.446e-05,              5.446e-05,              5.446e-05
                     48,                0.52642,                 0.3246,                0.94628,                  0.916,                0.89828,                0.92758,                0.66938,                  1.068,                0.53168,                0.86573,              5.347e-05,              5.347e-05,              5.347e-05
                     49,                0.51601,                0.31879,                0.94313,                0.92492,                0.88468,                0.93455,                0.67072,                 1.0659,                0.55321,                0.86168,              5.248e-05,              5.248e-05,              5.248e-05
                     50,                0.51913,                0.31575,                0.94537,                0.92274,                0.88891,                0.93028,                0.66258,                 1.0776,                0.54629,                0.87549,              5.149e-05,              5.149e-05,              5.149e-05
                     51,                0.52767,                0.32148,                0.94707,                 0.9341,                0.89508,                0.93364,                0.66718,                 1.0776,                0.55177,                0.87578,               5.05e-05,               5.05e-05,               5.05e-05
                     52,                0.52973,                0.32036,                0.94882,                 0.9281,                0.88997,                0.93312,                 0.6689,                 1.0429,                0.53514,                0.85043,              4.951e-05,              4.951e-05,              4.951e-05
                     53,                0.51978,                 0.3188,                0.94735,                0.92827,                0.89736,                0.93087,                0.66876,                 1.0558,                0.55008,                 0.8622,              4.852e-05,              4.852e-05,              4.852e-05
                     54,                0.51747,                0.31224,                0.94433,                0.92911,                0.89901,                0.93475,                0.67246,                 1.0616,                0.55962,                0.85894,              4.753e-05,              4.753e-05,              4.753e-05
                     55,                0.51746,                0.31766,                0.94636,                0.93232,                0.90216,                 0.9357,                0.67166,                 1.0621,                0.56393,                0.85887,              4.654e-05,              4.654e-05,              4.654e-05
                     56,                0.52116,                0.31769,                 0.9433,                0.92973,                0.90186,                0.93555,                0.67212,                 1.0651,                0.56396,                0.86332,              4.555e-05,              4.555e-05,              4.555e-05
                     57,                0.51226,                0.30973,                0.94273,                0.93216,                0.89973,                 0.9369,                0.67495,                 1.0684,                0.56709,                0.86156,              4.456e-05,              4.456e-05,              4.456e-05
                     58,                 0.5101,                0.31021,                0.94143,                0.93746,                0.89877,                0.93677,                0.67438,                 1.0837,                0.56423,                0.87966,              4.357e-05,              4.357e-05,              4.357e-05
                     59,                0.50757,                0.30749,                0.93797,                0.93448,                0.90248,                 0.9396,                0.67908,                 1.0848,                0.56605,                0.87661,              4.258e-05,              4.258e-05,              4.258e-05
                     60,                    inf,                0.30881,                0.94044,                0.93877,                0.90251,                0.94113,                0.67505,                 1.0781,                0.58363,                0.87267,              4.159e-05,              4.159e-05,              4.159e-05
                     61,                0.50506,                0.30235,                0.93853,                0.93335,                0.91216,                0.94099,                0.67758,                 1.0713,                0.58555,                0.87053,               4.06e-05,               4.06e-05,               4.06e-05
                     62,                0.50103,                0.29867,                0.93628,                0.93895,                0.91023,                0.94122,                0.68235,                 1.0646,                0.55735,                0.87077,              3.961e-05,              3.961e-05,              3.961e-05
                     63,                0.49853,                0.29952,                0.93571,                0.94399,                0.91166,                0.94155,                0.68183,                 1.0564,                0.55342,                0.86762,              3.862e-05,              3.862e-05,              3.862e-05
                     64,                    inf,                0.30152,                0.93979,                0.94082,                 0.9099,                0.94149,                0.68313,                 1.0224,                0.51147,                0.84196,              3.763e-05,              3.763e-05,              3.763e-05
                     65,                0.49603,                0.29683,                0.94059,                0.93788,                0.90961,                 0.9407,                0.68464,                   1.02,                0.50768,                0.83881,              3.664e-05,              3.664e-05,              3.664e-05
                     66,                0.50645,                0.30295,                0.93622,                0.94424,                0.90768,                0.94034,                 0.6806,                 1.0399,                0.52348,                0.85104,              3.565e-05,              3.565e-05,              3.565e-05
                     67,                0.50054,                0.30105,                0.93703,                0.94186,                 0.9065,                0.94036,                0.67966,                 1.0405,                0.52854,                0.85397,              3.466e-05,              3.466e-05,              3.466e-05
                     68,                0.49456,                0.29607,                0.93417,                0.94028,                0.91042,                0.94068,                0.67975,                 1.0371,                0.53104,                0.85285,              3.367e-05,              3.367e-05,              3.367e-05
                     69,                0.49351,                0.29268,                0.93292,                0.94137,                0.90693,                0.94026,                0.67986,                 1.0358,                0.52914,                0.85169,              3.268e-05,              3.268e-05,              3.268e-05
                     70,                0.49462,                0.29177,                0.93179,                0.94264,                0.90812,                0.94075,                0.68022,                 1.0256,                0.50578,                0.84796,              3.169e-05,              3.169e-05,              3.169e-05
                     71,                0.48454,                0.28874,                0.93404,                0.94416,                0.90658,                0.94181,                  0.682,                 1.0245,                0.50335,                0.84675,               3.07e-05,               3.07e-05,               3.07e-05
                     72,                0.48924,                0.28882,                0.93435,                0.94463,                0.90665,                 0.9439,                0.68335,                 1.0215,                 0.5047,                 0.8443,              2.971e-05,              2.971e-05,              2.971e-05
                     73,                0.48017,                  0.285,                0.93177,                 0.9422,                0.90585,                0.94471,                0.68351,                  1.024,                0.50531,                0.84585,              2.872e-05,              2.872e-05,              2.872e-05
                     74,                0.49102,                0.28937,                 0.9305,                0.94771,                0.90039,                0.94405,                0.68426,                 1.0253,                0.50728,                0.84649,              2.773e-05,              2.773e-05,              2.773e-05
                     75,                0.48598,                0.28548,                 0.9332,                0.94597,                0.90304,                0.94483,                0.68191,                 1.0388,                0.52072,                0.85751,              2.674e-05,              2.674e-05,              2.674e-05
                     76,                0.47864,                0.28454,                0.92906,                0.93857,                0.90733,                0.94472,                 0.6812,                 1.0418,                0.52278,                0.85928,              2.575e-05,              2.575e-05,              2.575e-05
                     77,                 0.4815,                0.28199,                0.92987,                0.94197,                0.90482,                0.94464,                0.67916,                 1.0442,                0.52142,                0.85963,              2.476e-05,              2.476e-05,              2.476e-05
                     78,                0.47837,                0.28059,                  0.929,                0.94105,                0.90387,                0.94315,                0.68027,                 1.0423,                0.51956,                0.85694,              2.377e-05,              2.377e-05,              2.377e-05
                     79,                0.48224,                0.28569,                0.92932,                0.94262,                0.90525,                0.94571,                0.68158,                 1.0481,                0.52278,                0.85946,              2.278e-05,              2.278e-05,              2.278e-05
                     80,                0.47915,                0.27974,                0.92778,                 0.9432,                0.90488,                0.94497,                0.68198,                 1.0517,                0.52533,                0.86296,              2.179e-05,              2.179e-05,              2.179e-05
                     81,                0.47643,                0.27948,                0.92791,                0.94528,                 0.9036,                0.94453,                0.68117,                 1.0547,                0.52646,                0.86491,               2.08e-05,               2.08e-05,               2.08e-05
                     82,                0.47354,                 0.2757,                0.92611,                0.94223,                0.90283,                0.94354,                0.68152,                 1.0566,                0.52687,                0.86713,              1.981e-05,              1.981e-05,              1.981e-05
                     83,                0.47905,                0.28396,                 0.9272,                0.94103,                0.90144,                0.94312,                0.68154,                 1.0601,                0.52805,                0.87077,              1.882e-05,              1.882e-05,              1.882e-05
                     84,                0.47321,                0.27658,                0.92652,                0.93933,                0.90122,                0.94338,                0.68239,                 1.0615,                0.52761,                0.87236,              1.783e-05,              1.783e-05,              1.783e-05
                     85,                 0.4727,                0.28321,                0.92601,                 0.9408,                0.90036,                0.94369,                0.68217,                 1.0618,                0.52823,                0.87256,              1.684e-05,              1.684e-05,              1.684e-05
                     86,                0.47259,                0.27227,                0.92398,                 0.9421,                0.90003,                0.94319,                0.68241,                 1.0616,                0.52805,                 0.8718,              1.585e-05,              1.585e-05,              1.585e-05
                     87,                0.47216,                0.27192,                0.92313,                0.94309,                0.89956,                0.94327,                0.68347,                 1.0612,                0.52876,                0.87148,              1.486e-05,              1.486e-05,              1.486e-05
                     88,                0.47633,                0.27532,                0.92329,                0.94223,                0.89959,                0.94302,                0.68367,                 1.0615,                0.52902,                0.87161,              1.387e-05,              1.387e-05,              1.387e-05
                     89,                0.46921,                0.27092,                0.92358,                0.94308,                0.89865,                0.94385,                0.68322,                 1.0615,                0.52993,                0.87142,              1.288e-05,              1.288e-05,              1.288e-05
                     90,                0.64658,                0.31203,                0.93467,                0.94326,                0.89523,                0.94453,                0.68287,                 1.0615,                0.53289,                0.87205,              1.189e-05,              1.189e-05,              1.189e-05
                     91,                0.63449,                0.29781,                0.92543,                 0.9435,                0.89399,                0.94471,                  0.683,                 1.0625,                0.53466,                 0.8731,               1.09e-05,               1.09e-05,               1.09e-05
                     92,                0.63084,                0.29223,                0.92972,                0.94256,                0.89336,                0.94451,                0.68278,                 1.0628,                0.53722,                0.87321,               9.91e-06,               9.91e-06,               9.91e-06
                     93,                0.62441,                0.29203,                0.92359,                0.94188,                0.89361,                0.94346,                0.68303,                 1.0644,                0.54095,                0.87441,               8.92e-06,               8.92e-06,               8.92e-06
                     94,                0.62543,                0.29024,                 0.9267,                0.94117,                0.89343,                0.94386,                0.68263,                  1.066,                0.54316,                0.87529,               7.93e-06,               7.93e-06,               7.93e-06
                     95,                 0.6235,                0.28747,                0.92286,                0.94145,                0.89353,                0.94366,                0.68282,                  1.066,                0.54525,                0.87556,               6.94e-06,               6.94e-06,               6.94e-06
                     96,                0.62291,                0.28761,                0.92408,                0.94092,                0.89359,                0.94353,                0.68234,                 1.0659,                0.54629,                0.87583,               5.95e-06,               5.95e-06,               5.95e-06
                     97,                0.61677,                0.28497,                0.92368,                0.93941,                0.89576,                0.94346,                0.68264,                 1.0663,                0.54707,                 0.8764,               4.96e-06,               4.96e-06,               4.96e-06
                     98,                 0.6135,                0.28457,                 0.9188,                0.94057,                0.89487,                0.94344,                0.68207,                 1.0665,                 0.5479,                0.87687,               3.97e-06,               3.97e-06,               3.97e-06
                     99,                0.61119,                0.28424,                0.92021,                0.93909,                0.89529,                0.94336,                0.68177,                 1.0667,                 0.5488,                0.87736,               2.98e-06,               2.98e-06,               2.98e-06
